titre_commentaire,commentaire,Date_Avis,Ville,Pays,Date_Sejour,Note,Photo,langue
"['must', 'tous', 'fan']","['cet', 'hôtel', 'récemment', 'rénové', 'incontournable', 'tout', 'amateur', 'merveilles', 'juste', 'couper', 'souffle', 'frais', 'propre', 'sélection', 'étonnante', 'peintures', 'originales', 'merveilles', 'spot', 'photo', 'spider', 'man', 'diver', 'opportunités', 'photo', 'thème', 'merveilles', 'chambres', 'incroyables', 'tout', 'hôtel', 'thème', 'merveilles', 'personnages', 'promènent', 'réception', 'restaurant', 'super', 'snack', 'pâtisseries', 'thème', 'merveilleux', 'juste', 'base', 'parfaite', 'fan']",juil 2022,Saint Helens, Royaume-Uni,mai 2022,5,yes,en
"['chef', 'oeuvre', 'malgré', 'soucis', 'technique', 'rencontrés']","['alors', 'vais', 'commencer', 'sujets', 'épineux', 'puis', 'finir', 'pourquoi', 'quand', 'note', 'maximal', 'réservé', 'longtemps', 'avance', 'plusieurs', 'nuits', 'espérant', 'tomber', 'ouverture', 'land', 'campus', 'avangers', 'dis', 'peut', 'être', 'début', 'ouvert', 'arrivé', 'hôtel', 'juin', 'récupérer', 'chambre', 'déposer', 'valise', 'annonce', 'petit', 'soucis', 'chambre', 'encore', 'prête', 'pouvais', 'revenir', 'petite', 'heure', 'accepté', 'proposé', 'garder', 'bagages', 'bagagerie', 'hôtel', 'plus', 'tard', 'retour', 'avancé', 'problème', 'toujours', 'résolu', 'demande', 'patienter', 'encore', 'petite', 'demi', 'heure', 'voulu', 'récupérer', 'vêtement', 'bagage']",juin 2022,Auvergne-Rhône-Alpes, France,juin 2022,5,no,fr
"['belle', 'expérience']","['seule', 'chose', 'moins', 'aimée', 'demipension', 'déjeunerdîner', 'faut', 'réserver', 'auprès', 'concierge', 'tous', 'matins', 'pension', 'réservation', 'automatique', 'hôtel', 'avon', 'contenter', 'quelques', 'restaurant', 'disponibles', 'sein', 'village', 'excellent', 'petit', 'déjeuner', 'félicitations', 'accueil', 'dessert', 'boissons', 'mémorables', 'merci', 'cette', 'belle', 'expérience', 'tant', 'emplacement', 'excellent', 'voulez', 'voir', 'feu', 'artifice', 'fin', 'soirée', 'vue', 'imprenable', 'depuis', 'chambre']",juin 2022,None, None,juin 2022,4,no,it
"['très', 'bel', 'hôtel', 'sobre', 'disneyland', 'paris']","['hôtel', 'très', 'simple', 'trop', 'excitant', 'disneyland', 'paris', 'excitant', 'estàdire', 'très', 'simplement', 'décoré', 'hôtel', 'grandes', 'chambres', 'lit', 'propres', 'confortables', 'personnel', 'très', 'sympathique', 'service', 'enregistrement', 'départ', 'rapides', 'distance', 'marche', 'deux', 'parcs', 'trouve', 'plein', 'centreville', 'tous', 'magasins', 'restaurant', 'deux', 'chambres', 'supérieures', 'terrasse', 'jardin', 'elles', 'rezdechaussée', 'donc', 'terrasse', 'fait', 'porte', 'coulissante', 'verre', 'donnant', 'pelouse', 'ouverte', 'tous', 'quelques', 'chaise', 'belle', 'douche', 'pression', 'eau', 'mini', 'frigo', 'coffrefort', 'chambres', 'avon', 'réservé', 'deux', 'chambres', 'supérieures', 'jardin', 'terrasse', 'famille', 'deux', 'lit', 'queen', 'couple', 'très', 'beau', 'lit', 'king', 'size', 'canapélit', 'très', 'beau', 'grand…']",juin 2022,Concord, Californie,juin 2022,4,no,en
"['endroit', 'idéal', 'visiter', 'parcs', 'détendre', 'ensuite']","['emplacement', 'parfait', 'approcher', 'parcs', 'pied', 'chambres', 'spacieuses', 'insonorisation', 'parfaite', 'vraiment', 'important', 'surtout', 'pendant', 'nuit', 'ceux', 'déjà', 'passé', 'quelques', 'jours', 'hôtel', 'plein', 'jeunes', 'enfants', 'peuvent', 'vraiment', 'apprécier', 'silence', 'chambre', 'avon', 'séjourné', 'plusieurs', 'fois', 'différents', 'hôtels', 'environnement', 'détendre', 'aprèsmidi', 'bonne', 'nuit', 'sommeil', 'loin', 'meilleur', 'ici', 'personnel', 'extrêmement', 'sympathique', 'serviable', 'chaque', 'fois', 'avon', 'approchés', 'demandes', 'trouvé', 'bonnes', 'solution', 'réserver', 'chambre', 'niveau', 'empire', 'state', 'club', 'vue', 'lac', 'idée', 'fantastique', 'avon', 'éviter', 'restaurant', 'surpeuplé', 'pendant', 'petitdéjeuner', 'dîner', 'citer', 'grand', 'avantage', 'de…']",juin 2022,Hongrie centrale, Hongrie,juin 2022,5,yes,en
"['pied', 'disneyland']","['bel', 'hôtel', 'plusieurs', 'restaurant', 'peut', 'marcher', 'jusqu', 'arrivé', 'climatisation', 'cassée', 'espace', 'extérieur', 'peu', 'intimité', 'déménagé', 'chambre', 'celleci', 'robinet', 'cassé', 'salle', 'bain', 'rapport', 'qualité', 'prix', 'attendais', 'qualité', 'supérieure', 'cet', 'hôtel', 'étoiles', 'confort', 'cool', 'lit', 'queen']",juin 2022,Balneario Camboriu, SC,juin 2022,4,yes,pt
"['nouveau', 'nouvel', 'hôtel']","['invitée', 'structure', 'pendant', 'trois', 'nuits', 'juin', 'enfants', 'hôtel', 'récemment', 'rénové', 'chambre', 'troisième', 'étage', 'vue', 'jardin', 'parfaite', 'grande', 'lit', 'confortables', 'mobilier', 'design', 'contemporain', 'salle', 'bain', 'spacieuse', 'baignoire', 'avon', 'dîné', 'restaurant', 'manhattan', 'service', 'table', 'soir', 'très', 'bonne', 'cuisine', 'prix', 'démesurés', 'bon', 'petit', 'déjeuner', 'environnement', 'chaotique', 'ensemble', 'apprécié', 'hôtel', 'car', 'neuf', 'très', 'proche', 'village', 'quelques', 'entrées', 'parcs', 'coût', 'vraiment', 'élevé', 'peutêtre', 'conseillé', 'uniquement', 'ceux', 'très', 'jeunes', 'enfants', 'doivent', 'retourner', 'hôtel', 'plusieurs', 'fois', 'journée', 'fan', 'personnages']",juin 2022,Pizzoli, Italie,juin 2022,4,no,it
['wooow'],"['réservé', 'cet', 'hôtel', 'comme', 'régal', 'fille', 'vacances', 'disneyland', 'adoré', 'tout', 'abord', 'enregistrement', 'ultra', 'rapide', 'bagagerie', 'arrivée', 'départ', 'dirais', 'indispensable', 'visiter', 'chambre', 'disponible', 'partir', 'hle', 'personnel', 'serviable', 'très', 'gentil', 'tout', 'très', 'facile', 'hôtel', 'thème', 'merveilles', 'donc', 'beaucoup', 'photo', 'prendre', 'station', 'selfie', 'vraiment', 'belle', 'hôtel', 'luxueux', 'ringard', 'grand', 'espaces', 'partout', 'chambres', 'côté', 'peut', 'aller', 'pied', 'dispose', 'également', 'piscines', 'intérieures', 'dont', 'nager', 'jacuzzi', 'après', 'journée', 'merveilleux', 'baigner', 'piscine', 'bon', 'petit', 'déjeuner', 'crêpes', 'bref', 'recommande', 'séjour', 'disneyland', 'hôtels…']",juin 2022,cremona,None,juin 2022,5,no,it
"['super', 'héros']","['quel', 'bel', 'hôtel', 'très', 'bien', 'restauré', 'petit', 'garçon', 'étoiles', 'pleins', 'yeux', 'rentrant', 'chambres', 'magnifiques', 'petit', 'dej', 'très', 'copieux', 'personnel', 'adorable', 'écoute', 'accès', 'pied', 'fait', 'facilement']",juin 2022,Onesse-et-Laharie, France,juin 2022,5,yes,fr
"['qualité', 'service', 'dégradée']","['somme', 'retournés', 'new', 'york', 'après', 'mois', 'rapport', 'tout', 'restant', 'belle', 'structure', 'qualité', 'service', 'considérablement', 'réduite', 'notamment', 'petitdéjeuner', 'restauration', 'identique', 'qualité', 'service', 'autres', 'hôtels', 'catégorie', 'inférieure', 'salle', 'sport', 'bien', 'identique', 'tels', 'disponibilité', 'équipement', 'manque', 'série', 'détails', 'rendu', 'plus', 'exclusif', 'utilisé', 'autres', 'service', 'donc', 'peux', 'commenter']",juin 2022,Canosa di Puglia, Italie,juin 2022,3,no,it
"['très', 'bon']","['avon', 'passé', 'jours', 'chambre', 'vue', 'jardin', 'vérité', 'chambre', 'super', 'grande', 'très', 'propre', 'très', 'confortable', 'hôtel', 'immense', 'peut', 'perdre', 'tout', 'aussi', 'réalisé', 'chaque', 'étage', 'personnage', 'hallucine', 'avon', 'pris', 'petit', 'déjeuner', 'hôtel', 'piscine', 'fermée', 'cause', 'situation', 'laquelle', 'trouvions', 'allez', 'pleine', 'capacité', 'fermée', 'seul', 'inconvénient', 'peut', 'mettre', 'font', 'faire', 'queue', 'deux', 'file', 'dire', 'arrivée', 'faut', 'faire', 'queue', 'avoir', 'entrer', 'laisser', 'bagages', 'attente', 'ensuite', 'faut', 'refaire', 'queue', 'refaites', 'queue', 'quand', 'arrivez', 'avoir', 'chambre', 'encore', 'heure', 'final', 'enregistrez', 'ligne', 'rien', 'car', 'faut', 'faire', 'queue…']",juin 2022,None, None,juin 2022,5,no,es
['incroyable'],"['hôtel', 'incroyable', 'probablement', 'mesure', 'permettre', 'rester', 'cet', 'hôtel', 'normalement', 'raison', 'retard', 'visite', 'travail', 'sequoia', 'lodge', 'avon', 'abord', 'obtenu', 'offre', 'décente', 'cependant', 'pouvez', 'étirer', 'budget', 'essayez', 'peu', 'plus', 'faire', 'cet', 'endroit', 'comme', 'récemment', 'rénové', 'endroit', 'toujours', 'étincelant', 'propre', 'considère', 'nombre', 'personnes', 'franchissent', 'porte', 'elles', 'bien', 'débrouillées', 'excellent', 'service', 'dès', 'arrivée', 'bagages', 'pris', 'charge', 'lorsque', 'passez', 'sécurité', 'enregistrez', 'assurezvous', 'simplement', 'avoir', 'tout', 'dont', 'besoin', 'enregistrervisiter', 'avant', 'bagages', 'emportés', 'car', 'pendant', 'pouvez', 'aller', 'chercher', 'article', 'plus', 'facile', 'trier', 'avant', 'enregistrement', 'également', 'fluide', 'serviable', 'sympathique', 'comme', 'somme', 'arrivés', 'plus', 'tôt', 'notre…']",juin 2022,None, None,juin 2022,5,no,en
['semble'],"['hôtel', 'plus', 'proche', 'parcs', 'voulez', 'reposer', 'peu', 'midi', 'moment', 'chambres', 'faites', 'bien', 'sinon', 'perte', 'argent', 'descendre', 'réception', 'demander', 'remplissage', 'savon', 'douche', 'donnent', 'capsule', 'café', 'bouteille', 'eau', 'gratuite', 'uniquement', 'premier', 'jour', 'somme', 'arrivés', 'reposer', 'peu', 'après', 'avoir', 'mangé', 'chambre', 'toujours', 'faite', 'propreté', 'hauteur', 'hôtel', 'caractéristiques', 'parle', 'odyssée', 'dîner', 'temp', 'toujours', 'manger', 'fast', 'food', 'mauvais', 'puisque', 'hôtel', 'réservez', 'avance', 'oubliez', 'quoi', 'comme', 'dit', 'début', 'proche', 'lit', 'confortables', 'rien', 'près', 'nuits', 'personnes', 'billet', 'et…']",juin 2022,None, None,juin 2022,1,no,es
"['chambre', 'supérieure']","['avon', 'reçu', 'excellent', 'accueil', 'très', 'bien', 'dirigé', 'encadré', 'équipe', 'hôtel', 'connaissions', 'reviendrons', 'chambre', 'propre', 'parfaitement', 'équipée', 'quoi', 'profiter', 'très', 'beau', 'séjour']",juin 2022,None, None,juin 2022,5,no,fr
"['très', 'bel', 'endroit', 'expérience', 'héroïque', 'incroyable', 'petits']","['très', 'bel', 'hôtel', 'cast', 'member', 'très', 'agréables', 'super', 'héros', 'station', 'immersion', 'aventure', 'encore', 'plus', 'grand', 'petits', 'comme', 'grand', 'adorés', 'bar', 'très', 'beau', 'passage', 'héros', 'font', 'petits', 'coucous', 'appréciés', 'tout', 'comme', 'cocktail', 'très', 'bons', 'chambres', 'super', 'confortables', 'contre', 'peu', 'embêtée', 'profondeur', 'piscine', 'peu', 'trop', 'profonde', 'petits']",juin 2022,Lyon, France,janvier 2022,5,yes,fr
['excellent'],"['bel', 'hôtel', 'attention', 'moindres', 'détails', 'chambres', 'spacieuses', 'soignées', 'propres', 'sent', 'vraiment', 'aise', 'personnel', 'général', 'très', 'gentil', 'parle', 'toutes', 'langues', 'buffet', 'souper', 'assez', 'copieux', 'bons', 'plat', 'seul', 'défaut', 'boire', 'verre', 'chacun', 'vin', 'non', 'compris', 'prix', 'payé', 'cela', 'parait', 'peu', 'réducteur', 'reste', 'rien', 'dire', 'petit', 'déjeuner', 'copieux', 'rencontre', 'spider', 'man', 'réservation', 'inclus', 'prix', 'peutêtre', 'pourraient', 'aussi', 'organiser', 'plus', 'apparition', 'autres', 'superhéros', 'sûrement', 'quelque', 'chose', 'enfants', 'aimeraient', 'puisque', 'somme', 'hôtel', 'cependant', 'expérience', 'faire', 'séjournez', 'disneyland']",juin 2022,None, None,juin 2022,5,no,it
"['hotel', 'thématique', 'particulièrement', 'réussi']","['superbe', 'décor', 'chambre', 'confortables', 'vraiment', 'adpatée', 'familles', 'jeunes', 'enfants', 'coin', 'séparé', 'préférable', 'mention', 'spécial', 'bar', 'très', 'sympa', 'choix', 'hotel', 'judicieux', 'visiter', 'durant', 'jours', 'plus']",juin 2022,Boston, Massachusetts,mars 2022,4,no,fr
['rêverie'],"['hôtel', 'équipé', 'tout', 'confort', 'dont', 'peut', 'rêver', 'imaginer', 'conte', 'fées', 'yeux', 'ouverts', 'savourer', 'savourer', 'chaque', 'instant', 'début', 'fin', 'séjour', 'cette', 'magnifique', 'structure', 'personnel', 'super', 'sympa', 'toujours', 'prêt', 'satisfaire', 'tout', 'type', 'demande', 'client', 'chapeau']",juin 2022,Pianezze, Italie,juin 2022,5,yes,it
"['très', 'bien']","['hotel', 'très', 'beau', 'personnel', 'très', 'attentif', 'souriant', 'équipements', 'beau', 'restaurant', 'bons', 'particulièrement', 'celui', 'buffet', 'pdj', 'vraiment', 'très', 'bon', 'prix', 'reste', 'quand', 'très', 'élevé…mais', 'bon', 'disney…']",juin 2022,Martinique,None,juin 2022,4,no,fr
"['beau', 'séjour', 'peu', 'décevant']","['ère', 'fois', 'quelque', 'peu', 'déçue', 'hôtel', 'très', 'bel', 'hôtel', 'très', 'belle', 'chambre', 'cadre', 'intérieur', 'extérieur', 'très', 'agréable', 'attendais', 'peu', 'plus', 'personnel', 'très', 'gentil', 'accueil', 'parfait', 'petit', 'déjeuner', 'très', 'bien', 'beaucoup', 'choix', 'avon', 'également', 'diner', 'manhattan', 'avon', 'beaucoup', 'apprécié', 'repas', 'contre', 'séjour', 'jours', 'nuits', 'ascenseur', 'panne', 'peu', 'après', 'arrivée', 'toujours', 'réparé', 'départ', 'idem', 'gel', 'douche', 'pot', 'gel', 'douche', 'vite', 'arrivée', 'toujours', 'vide', 'départ', 'heureusement', 'mien', 'hôtel', 'standing', 'attend', 'quand', 'mieux']",juin 2022,Liège, Belgique,juin 2022,3,no,fr
"['très', 'propre', 'bien', 'entretenu']","['super', 'hôtel', 'juste', 'côté', 'parcs', 'chambres', 'grandes', 'bien', 'équipées', 'chambres', 'ensemble', 'hôtel', 'très', 'propres', 'jardins', 'très', 'bien', 'entretenus', 'personnel', 'très', 'sympathique', 'courtois', 'bon', 'choix', 'petit', 'déjeuner', 'faites', 'réservation', 'dîner', 'hôtel', 'facilement', 'accessible', 'train', 'navette', 'aéroport', 'voiture', 'encore', 'beaucoup', 'endroits', 'faire', 'shopping', 'manger', 'village']",juin 2022,None, None,juin 2022,5,no,de
"['meilleur', 'hôtel']","['hôtel', 'incroyable', 'personnel', 'formidable', 'bon', 'emplacement', 'dès', 'instant', 'arrivez', 'cela', 'semble', 'vraiment', 'spécial', 'effet', 'sensationnel', 'restaurant', 'géniaux', 'bon', 'choix', 'plat', 'hôtel', 'fait', 'tout', 'possible', 'passiez', 'meilleur', 'séjour', 'avon', 'hâte', 'retourner', 'revenir', 'ici']",juin 2022,Northamptonshire, Royaume-Uni,février 2022,5,no,en
['étrange'],"['séjourné', 'nuits', 'lundi', 'jeudi', 'famille', 'deux', 'enfants', 'trouvé', 'aspect', 'positifs', 'autres', 'laissé', 'peu', 'perplexe', 'proximité', 'parcs', 'très', 'pratique', 'permet', 'rentrer', 'quelques', 'minute', 'journée', 'faire', 'sieste', 'sortir', 'soir', 'voir', 'spectacle', 'clôture', 'possible', 'rencontrer', 'spider', 'man', 'moyennant', 'supplément', 'prendre', 'photo', 'profiter', 'lieux', 'prendre', 'autres', 'clichés', 'enfants', 'aimaient', 'trop', 'cuisine', 'italienne', 'chambre', 'évier', 'bouché', 'machine', 'café', 'quelques', 'problèmes', 'chose', 'vraiment', 'compris', 'pourquoi', 'hôtel', 'peut', 'rencontrer', 'spider', 'man', 'rien', 'spider', 'man', 'boutique', 'seule', 'figurine', 'collectionneurs', 'non…']",juin 2022,None, None,juin 2022,3,yes,it
"['the', 'place']","['clairement', 'fan', 'moyens', 'faut', 'aller', 'piscine', 'salle', 'sport', 'parfaites', 'décorations', 'juste', 'incroyables', 'chambres', 'hôtel', 'service', 'très', 'bien', 'personnel', 'irréprochable', 'niveau', 'chambre', 'tout', 'bien', 'petit', 'déjeuner', 'juste', 'parfait', 'hôtel', 'minute', 'village', 'niveau', 'parking', 'largement', 'quoi', 'faire']",juin 2022,Nantes, France,juin 2022,5,no,fr
['incroyable'],"['avon', 'séjourné', 'ici', 'mar', 'nuits', 'avon', 'passé', 'séjour', 'top', 'hôtel', 'très', 'beau', 'expérience', 'superhéros', 'vraiment', 'géniale', 'cours', 'dessin', 'bande', 'dessinée', 'photo', 'spiderman', 'chambre', 'propre', 'agréable', 'beaucoup', 'espace', 'marche', 'bien', 'restaurant', 'downtown', 'fortement', 'recommandé', 'avon', 'utilisé', 'piscine']",juin 2022,Den Bosch, Pays-Bas,mars 2022,5,no,nl
"['parfait', 'quelques', 'détails', 'près']","['hôtel', 'superbe', 'esthétique', 'hyper', 'soignée', 'thème', 'décliné', 'grande', 'élégance', 'petit', 'déjeuner', 'grande', 'qualité', 'superbe', 'restaurant', 'apprécié', 'espace', 'photo', 'booth', 'rencontre', 'spider', 'man', 'piscine', 'sublime', 'bien', 'chauffée', 'horaires', 'très', 'large', 'matin', 'seule', 'dedans', 'luxe', 'mets', 'car', 'regretté', 'literie', 'lit', 'double', 'faire', 'dormir', 'enfants', 'lit', 'épreuve', 'fini', 'séparer', 'dormir', 'donc', 'mal', 'dormi', 'quand', 'besoin', 'sommeil', 'problèmes', 'carte', 'démagnétisée', 'faire', 'plusieurs', 'fois', 'aller', 'retour', 'réception', 'minuit', 'passe', 'dommage', 'avoir', 'la…']",juin 2022,Paris, France,juin 2022,4,yes,fr
"['très', 'chouette']","['séjour', 'hôtel', 'the', 'art', 'durant', 'pentecôte', 'hôtel', 'très', 'bien', 'rénové', 'service', 'qualité', 'très', 'jolies', 'chambres', 'accueil', 'enthousiaste', 'bienveillant', 'séjour', 'magique']",juin 2022,Habay-la-Neuve, Belgique,juin 2022,5,yes,fr
"['super', 'hôtel', 'super', 'personnel']","['excellent', 'service', 'grande', 'expérience', 'avon', 'adoré', 'expérience', 'merveilleuse', 'parcs', 'général', 'avon', 'problème', 'chambre', 'personnel', 'directeur', 'jour', 'pliés', 'quatre', 'régler', 'réparer…', 'restaurant', 'hôtel', 'super', 'recommandent', 'vivement', 'restaurant', 'manhattan']",juin 2022,Londres, Royaume-Uni,juin 2022,5,yes,en
"['incroyable', 'amoureux']","['avon', 'vraiment', 'apprécié', 'séjour', 'chambre', 'empire', 'state', 'avon', 'adoré', 'tous', 'avantages', 'dont', 'bénéficiez', 'notamment', 'salle', 'manger', 'privée', 'concierge', 'thé', 'gratuit', 'aprèsmidi', 'chambre', 'chambre', 'empire', 'state', 'spacieuse', 'propre', 'très', 'bien', 'décorée', 'artwork', 'télévision', 'intelligente', 'cachée', 'miroir', 'nourriture', 'restaurant', 'buffet', 'petit', 'déjeuner', 'dîner', 'vraiment', 'bon', 'beaucoup', 'choix', 'dessert', 'somme', 'incroyables', 'raté', 'gaufres', 'mickey', 'petit', 'déjeuner', 'car', 'celles', 'shield', 'très', 'dignes', 'instagram', 'chose', 'mentionner', 'assurer', 'réserver', 'restaurant', 'mois', 'avance', 'car', 'avon', 'fait', 'avon', 'mal', 'entrer', 'importe', 'forfait', 'demipension', 'magic', 'the', 'skyline', 'bar', 'regardez', 'écrans', 'derrière', 'bar', 'voir', 'spiderman…']",juin 2022,Londres, Royaume-Uni,juin 2022,5,yes,en
"['meilleur', 'cadeau', 'amoureux']","['merveilleux', 'hôtel', 'deux', 'très', 'élégant', 'dès', 'entrée', 'accueilli', 'délicieux', 'parfum', 'ceux', 'aiment', 'deviennent', 'littéralement', 'fous', 'car', 'peintures', 'bandes', 'dessinées', 'reproduction', 'armure', 'iron', 'man', 'captain', 'america', 'lieu', 'magique']",juin 2022,Giovinazzo, Italie,mai 2022,5,yes,it
"['hôtel', 'incroyable', 'acteurs', 'incroyables']","['dès', 'instant', 'somme', 'arrivés', 'cet', 'hôtel', 'avon', 'époustouflés', 'chaque', 'détail', 'élément', 'compris', 'design', 'moderne', 'parfum', 'signature', 'œuvres', 'art', 'saisissantes', 'surtout', 'service', 'étoiles', 'tant', 'new', 'yorkais', 'avon', 'adoré', 'fait', 'thème', 'fusion', 'élégante', 'thème', 'newyorkais', 'style', 'vraiment', 'chic', 'somme', 'sentis', 'comme', 'vip', 'arrivée', 'avon', 'accueillis', 'membre', 'distribution', 'hôtel', 'empire', 'state', 'club', 'nommé', 'ruggiero', 'loin', 'meilleur', 'membre', 'distribution', 'tous', 'temp', 'sérieusement', 'meilleur', 'attribué', 'séjour', 'expérience', 'plus', 'incroyable', 'assuré', 'séjour', 'voyage', 'oublierons', 'jamais', 'aidé', 'réservations', 'donné', 'suggestion', 'utiles', 'recommandations', 'plus', 'gentil', 'plus', 'chaleureux', 'mari', 'je…']",juin 2022,Brooklyn, État de New York,juin 2022,5,yes,en
['magie'],"['rien', 'dire', 'cet', 'hôtel', 'aubaine', 'tous', 'amoureux', 'vengeurs', 'enfants', 'extrêmement', 'propre', 'rattaché', 'village', 'imbattable', 'également', 'point', 'vue', 'esthétique', 'personnel', 'distingue', 'courtoisie', 'professionnalisme', 'reviendrai', 'certainement']",juin 2022,None, None,juin 2022,5,no,it
"['attendais', 'plus']","['hôtel', 'situé', 'intérieur', 'immense', 'structure', 'chambres', 'supérieures', 'excellente', 'vue', 'lac', 'franchement', 'attendais', 'plus', 'tant', 'chambres', 'restaurant', 'entre', 'autre', 'choses', 'beaucoup', 'louées', 'avis', 'strittura', 'devrait', 'être', 'antichambre', 'monde', 'enfants', 'lieu', 'cela', 'trouvé', 'très', 'froid', 'sans', 'chaleur', 'sans', 'moindre', 'soupçon', 'joie', 'éprouve', 'cependant', 'résumé', 'parmi', 'autre', 'demande', 'évidemment', 'payant', 'tarif', 'plus', 'élevé', 'traitement', 'privilégié', 'très', 'déçu']",juin 2022,None, None,juin 2022,4,no,it
"['très', 'bel', 'hôtel']","['hôtel', 'rethématisé', 'tout', 'simplement', 'magnifique', 'très', 'belle', 'réception', 'très', 'belle', 'chambre', 'fresques', 'magnifiques', 'chaque', 'étage', 'chambre', 'décorée', 'gout', 'literie', 'impeccable', 'salle', 'bains', 'rien', 'dire', 'gel', 'douche', 'shampoing', 'après', 'shampoing', 'disponible', 'machine', 'café', 'bouteille', 'eau', 'chambre', 'très', 'bon', 'séjour']",juin 2022,Boucau, France,mai 2022,5,no,fr
"['hôtel', 'très', 'moyen']","['juste', 'correct', 'certainement', 'hôtel', 'étoiles', 'chambres', 'basiques', 'propres', 'donc', 'content', 'bar', 'skyline', 'agréable', 'personnel', 'adorable', 'nourriture', 'super', 'avon', 'fait', 'plan', 'repas', 'option', 'toutes', 'entrées', 'plat', 'dessert', 'côté', 'devez', 'donc', 'payer', 'séparément', 'voulez', 'quelque', 'chose', 'plus', 'vraiment', 'difficile', 'réserver', 'réservation', 'importe', 'dlp', 'somme', 'donc', 'retrouvés', 'restaurant', 'manhattan', 'nuits', 'correct', 'vraiment', 'ennuyeux', 'seulement', 'option', 'restauration', 'censé', 'être', 'italien', 'concierge', 'plus', 'sympathique', 'non', 'plus', 'fan', 'séjourné', 'ici', 'parce', 'pensais', 'meilleur', 'car', 'hôtel', 'disneyland', 'fermé', 'décevant', 'retournerions', 'attendrai', 'rénovation', 'terminée…']",mai 2022,Birmingham, Royaume-Uni,mai 2022,3,no,en
"['séjour', 'parfait', 'enfants']","['très', 'bel', 'hôtel', 'excellent', 'enfants', 'fan', 'véritable', 'expérience', 'très', 'bon', 'emplacement', 'véritable', 'attraction', 'enfants', 'surtout', 'lorsqu', 'rencontrent', 'superhéros', 'préféré', 'avon', 'pris', 'petit', 'déjeuner', 'bon', 'aussi', 'nourriture', 'service', 'chambre', 'également', 'bonne']",mai 2022,Bucarest, Roumanie,mai 2022,4,no,en
"['super', 'pause']","['somme', 'allés', 'disneyland', 'mai', 'fille', 'gendre', 'puisque', 'tout', 'monde', 'sauf', 'fan', 'logique', 'tester', 'new', 'york', 'hotel', 'nouvellement', 'ouvert', 'converti', 'thème', 'très', 'bien', 'œuvre', 'chambres', 'bonne', 'taille', 'lit', 'confortables', 'petite', 'cafetière', 'capsule', 'somme', 'abord', 'allés', 'walt', 'studio', 'malheureusement', 'très', 'décevant', 'presque', 'uniquement', 'chantiers', 'construction', 'nombreuses', 'attraction', 'encore', 'phase', 'rénovation', 'pouvez', 'certainement', 'économiser', 'prix', 'entrée', 'tant', 'client', 'hôtel', 'automatiquement', 'billet', 'deux', 'parcs', 'cela', 'bien', 'recevoir', 'petite', 'compensation', 'ensuite', 'somme', 'allés', 'principal', 'fait', 'battre', 'plus', 'vite', 'cœur', 'tous', 'fan', 'le…']",mai 2022,None, None,mai 2022,5,no,de
"['gimmicky', 'paresseux']","['globalement', 'très', 'déçu', 'argent', 'avon', 'payé', 'avon', 'séjourné', 'suite', 'terrasse', 'rezdechaussée', 'correct', 'terrasse', 'très', 'agréable', 'asseoir', 'car', 'envahie', 'végétation', 'sentais', 'hôtel', 'profitait', 'essentiellement', 'emplacement', 'certainement', 'étoiles', 'avon', 'mangé', 'restaurant', 'manhattan', 'soir', 'horrible', 'table', 'côté', 'poussettes', 'enfants', 'bon', 'début', 'quand', 'nourriture', 'arrivée', 'particulièrement', 'savoureuse', 'contenait', 'sorte', 'plastique', 'plaint', 'ramené', 'chose', 'demandé', 'faire', 'être', 'juste', 'donné', 'dessert', 'supplémentaire', 'avon', 'également', 'pris', 'verre', 'bar', 'skyline', 'très', 'surmédiatisé', 'menu', 'nourriture', 'également', 'limité', 'senti…']",mai 2022,Coppet, Suisse,mai 2022,2,no,en
['marvellous'],"['voyage', 'monde', 'plus', 'grand', 'plaisir', 'petits', 'grand', 'service', 'suite', 'qualité', 'personnel', 'toujours', 'agréable', 'souriant', 'seul', 'bémol', 'seule', 'bouteille', 'eau', 'personne', 'nuits', 'peu', 'léger', 'grâce', 'gentillesse', 'intendante', 'avon', 'obtenu', 'bouteilles', 'supplémentaires']",mai 2022,None, None,mai 2022,5,no,fr
"['hôtel', 'incroyable']","['adoré', 'cet', 'endroit', 'enregistrement', 'fluide', 'facile', 'chambre', 'spacieuse', 'propre', 'piscine', 'fantastique', 'location', 'gratuite', 'serviette', 'client', 'hôtel', 'boutique', 'propose', 'jolies', 'merveilles', 'restaurant', 'centreville', 'délicieux', 'tout', 'personnel', 'super', 'très', 'sympathique', 'serviable', 'reviendrais', 'certainement', 'ici']",mai 2022,Glasgow, Royaume-Uni,mai 2022,5,no,en
